Abbreviation,Name,Year,Price,Adjusted price
NSW,Nintendo Switch,2017,299.0,304.24812835969766
TF1,Fuze Tomahawk F1,2016,140.0,145.50399364461214
APTV,Apple TV,2015,149.0,156.8269831039135
N3DS,New Nintendo 3DS,2014,199.99,210.7500452247826
FIRE,Amazon Fire TV,2014,99.0,104.32648871070292
XONE,Xbox One,2013,499.0,534.3233437825645
PS4,PlayStation 4,2013,399.0,427.24451737323295
OUYA,Ouya,2013,99.0,106.00803814523825
WiiU,Wii U,2012,299.0,324.8592289094178
VITA,PlayStation Vita,2012,249.0,270.5349431386122
3DS,Nintendo 3DS,2011,249.0,276.14364915993474
IPAD,iPad,2010,499.0,570.7710287766429
ZBO,Zeebo,2009,280.0,325.51380003542056
DIDJ,Leapfrog Didj,2008,90.0,104.29424738419799
IPHN,iPhone,2007,599.0,720.6171285262426
Wii,Wii,2006,249.0,308.1542547649563
PS3,PlayStation 3,2006,599.0,741.302805639393
HSCN,HyperScan,2006,70.0,86.62971017488732
X360,Xbox 360,2005,399.0,509.69968248549
GIZ,Gizmondo,2005,229.0,292.5344042335268
GWAV,Game Wave,2005,99.0,126.46683851143735
VSML,V.Smile,2005,90.0,114.96985319221578
PSP,PlayStation Portable,2005,249.0,318.08326049846363
DS,Nintendo DS,2004,149.0,196.74546561383391
XAVX,XaviXPORT,2004,79.0,104.31470995632804
LEAP,Leapster,2003,80.0,108.45304347826087
ZOD,Zodiac,2003,299.0,405.34325
NGE,N-Gage,2003,299.0,405.34325
XBOX,Xbox,2001,299.0,421.27460390680164
GP32,GamePark 32,2001,160.0,225.43122617086374
IPOD,iPod,2001,399.0,562.1691202635915
GCN,GameCube,2001,199.0,280.3800875500118
GBA,Game Boy Advance,2001,100.0,140.89451635678986
WSC,WonderSwan Color,2000,59.0,85.46916517446643
PS2,PlayStation 2,2000,299.0,433.14034554517735
64DD,Nintendo 64DD,1999,300.0,449.22021010505256
NGPC,Neo Geo Pocket Color,1999,70.0,104.81804902451228
DC,Dreamcast,1998,199.0,304.5179162619498
GBC,Game Boy Color,1998,70.0,107.11685496651499
GCOM,Game.Com,1997,70.0,108.7739604422987
N64,Nintendo 64,1996,199.0,316.45725761037033
PIPN,Pippin,1995,599.0,980.525591162638
JCD,Jaguar CD,1995,150.0,245.5406321776222
VBOY,Virtual Boy,1995,179.0,293.0118210652958
BS-X,Satellaview,1995,145.0,237.3559444383681
32X,Sega 32X,1994,159.0,267.57482206105584
PS1,PlayStation,1994,299.0,503.1752943160736
SAT,Saturn,1994,399.0,671.4613459268005
NGCD,Neo Geo CD,1994,300.0,504.85815483218084
PDIA,Bandai Playdia,1994,295.0,496.4438522516445
JAG,Jaguar,1993,250.0,431.6352310088251
